School Name,State,region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
University of Georgia (UGA),Georgia,Southern,44100.00,"$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 "
Auburn University,Alabama,Southern,45400.00,"$84,700.00 ","$45,400.00 ","$62,700.00 ","$109,000.00 ","$145,000.00 "
University of Delaware,Delaware,Southern,45900.00,"$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 "
Randolph-Macon College,Virginia,Southern,42600.00,"$83,600.00 ",N/A,"$54,100.00 ","$123,000.00 ",N/A
North Carolina State University (NCSU),North Carolina,Southern,47200.00,"$83,300.00 ","$49,200.00 ","$64,800.00 ","$112,000.00 ","$153,000.00 "
University of Oklahoma,Oklahoma ,Southern,44700.00,"$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 "
University of Arkansas,Arkansas,Southern,44100.00,"$82,800.00 ","$43,200.00 ","$60,700.00 ","$113,000.00 ","$160,000.00 "
University of Alabama at Huntsville (UAH),Alabama,Southern,43100.00,"$82,700.00 ","$46,100.00 ","$67,800.00 ","$106,000.00 ","$132,000.00 "
Howard University,Washington DC,Southern,46900.00,"$81,800.00 ","$43,300.00 ","$60,000.00 ","$109,000.00 ","$138,000.00 "
University of North Carolina at Chapel Hill (UNCH),North Carolina,Southern,42900.00,"$81,500.00 ","$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 "
"University of Alabama, Tuscaloosa",Alabama,Southern,41300.00,"$81,400.00 ","$40,100.00 ","$56,500.00 ","$117,000.00 ","$161,000.00 "
University of Texas at Arlington (UTA),Texas,Southern,45400.00,"$80,800.00 ","$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 "
Oklahoma State University,Oklahoma ,Southern,42800.00,"$80,700.00 ","$40,100.00 ","$56,500.00 ","$114,000.00 ","$151,000.00 "
Tennessee Technological University,Tennessee,Southern,46200.00,"$80,000.00 ","$42,100.00 ","$62,600.00 ","$99,500.00 ","$121,000.00 "
University of Houston (UH),Texas,Southern,46000.00,"$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 "
University of Mississippi,Mississippi,Southern,41400.00,"$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 "
Lamar University,Texas,Southern,46500.00,"$79,400.00 ","$38,700.00 ","$51,600.00 ","$114,000.00 ","$158,000.00 "
Mississippi State University (MSU),Mississippi,Southern,44500.00,"$79,300.00 ","$43,300.00 ","$58,800.00 ","$108,000.00 ","$151,000.00 "
University of Kentucky (UK),Ohio,Southern,42800.00,"$78,300.00 ","$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 "
Texas Christian University (TCU),Texas,Southern,45100.00,"$78,100.00 ","$42,600.00 ","$56,600.00 ","$122,000.00 ","$183,000.00 "
West Virginia University (WVU),West Virginia,Southern,43100.00,"$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 "
University of Maryland Baltimore County (UMBC),Maryland,Southern,47000.00,"$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 "
University of Louisiana (UL) at Lafayette,Indiana,Southern,41100.00,"$76,300.00 ","$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 "
Florida International University (FIU),Florida,Southern,43200.00,"$75,500.00 ","$40,500.00 ","$55,800.00 ","$98,200.00 ","$136,000.00 "
University of Tennessee,Tennessee,Southern,43800.00,"$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 "
University of Arkansas - Monticello (UAM),Arkansas,Southern,39200.00,"$74,500.00 ",N/A,"$46,100.00 ","$110,000.00 ",N/A
University of North Carolina at Charlotte (UNCC),North Carolina,Southern,43100.00,"$74,000.00 ","$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 "
Georgia State University,Georgia,Southern,41800.00,"$74,000.00 ","$43,000.00 ","$55,300.00 ","$99,900.00 ","$145,000.00 "
LeTourneau University,Texas,Southern,49500.00,"$73,800.00 ","$41,200.00 ","$52,700.00 ","$95,200.00 ","$126,000.00 "
Florida State University (FSU),Florida,Southern,42100.00,"$73,000.00 ","$39,600.00 ","$52,800.00 ","$107,000.00 ","$156,000.00 "
University of Texas at El Paso (UTEP),Texas,Southern,43400.00,"$72,100.00 ","$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 "
University of Central Florida (UCF),Florida,Southern,42600.00,"$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 "
University of South Carolina,South Carolina,Southern,40000.00,"$71,700.00 ","$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 "
Florida Atlantic University (FAU),Florida,Southern,42600.00,"$71,100.00 ","$40,700.00 ","$53,000.00 ","$99,500.00 ","$137,000.00 "
University of South Florida (USF),Florida,Southern,41100.00,"$71,100.00 ","$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 "
University of Texas at San Antonio (UTSA),Texas,Southern,42500.00,"$70,700.00 ","$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 "
University of Alabama at Birmingham (UAB),Alabama,Southern,39200.00,"$70,100.00 ","$43,000.00 ","$53,400.00 ","$91,400.00 ","$125,000.00 "
University of Memphis (U of M),Tennessee,Southern,41400.00,"$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 "
Appalachian State University,North Carolina,Southern,40400.00,"$69,100.00 ","$37,200.00 ","$50,400.00 ","$90,800.00 ","$115,000.00 "
Virginia Commonwealth University (VCU),Virginia,Southern,42000.00,"$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 "
East Carolina University (ECU),North Carolina,Southern,40200.00,"$67,500.00 ","$38,400.00 ","$52,000.00 ","$98,700.00 ","$151,000.00 "
Western Carolina University,North Carolina,Southern,36900.00,"$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 "
Jacksonville University,Alabama,Southern,46700.00,"$66,200.00 ","$36,700.00 ","$47,200.00 ","$88,500.00 ","$121,000.00 "
University of North Carolina at Wilmington (UNCW),North Carolina,Southern,37500.00,"$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 "
Oklahoma City University,Oklahoma ,Southern,40000.00,"$64,300.00 ",N/A,"$45,400.00 ","$80,600.00 ",N/A
Arkansas State University (ASU),Arkansas,Southern,38700.00,"$63,300.00 ","$33,600.00 ","$45,300.00 ","$83,900.00 ","$118,000.00 "
Tarleton State University (TSU),Texas,Southern,40800.00,"$62,400.00 ","$32,100.00 ","$47,400.00 ","$80,400.00 ","$126,000.00 "
Morehead State University,Kentucky,Southern,34800.00,"$60,600.00 ","$34,300.00 ","$46,500.00 ","$72,000.00 ","$91,300.00 "
Mississippi College,Mississippi,Southern,35400.00,"$60,400.00 ",N/A,"$43,900.00 ","$80,400.00 ",N/A
